Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ferroceno t=0	Ferroceno t=0	Ferroceno t=8min	Ferroceno t=8min	Ferroceno t=15min	Ferroceno t=15min	Ferroceno t=27min	Ferroceno t=27min	Feroceno t=45min	Feroceno t=45min	Ferroceno t=69min	Ferroceno t=69min	Ferroceno t=99min	Ferroceno t=99min
-78.32327	0.076684	-78.3471	-0.066097	-78.36938	-0.121168	-78.33981	-0.067818	-78.32852	0.002171	-78.37216	0.026982	-78.32254	0.044985
-77.32722	0.075911	-77.3402	-0.063307	-77.36026	-0.119162	-77.32449	-0.063859	-77.3012	0.003363	-77.39445	0.029103	-77.34271	0.04629
-76.33412	0.074645	-76.33904	-0.062161	-76.38278	-0.118488	-76.33555	-0.062119	-76.33765	0.003792	-76.38058	0.029558	-76.35274	0.04751
-75.34293	0.075188	-75.34379	-0.059896	-75.37806	-0.114709	-75.34293	-0.06082	-75.33453	0.006384	-75.37674	0.031206	-75.35328	0.049034
-74.33002	0.077295	-74.33744	-0.057876	-74.37074	-0.113205	-74.33849	-0.059083	-74.35007	0.008792	-74.35765	0.033922	-74.37867	0.05104
-73.33944	0.078724	-73.35236	-0.057309	-73.39509	-0.112371	-73.3562	-0.059339	-73.37997	0.012576	-73.34944	0.036661	-73.37869	0.053509
-72.34132	0.081585	-72.34168	-0.055882	-72.40503	-0.108077	-72.37341	-0.057309	-72.36859	0.014795	-72.34187	0.040441	-72.38472	0.056403
-71.3401	0.083445	-71.35376	-0.054587	-71.40953	-0.106006	-71.38441	-0.054201	-71.36476	0.016987	-71.33962	0.042262	-71.398	0.05843
-70.34474	0.084619	-70.3597	-0.052891	-70.4156	-0.103646	-70.40641	-0.05285	-70.34898	0.016658	-70.35468	0.042288	-70.38107	0.061019
-69.34795	0.084798	-69.3458	-0.050659	-69.38522	-0.100694	-69.41006	-0.050283	-69.35546	0.017614	-69.34892	0.043232	-69.37432	0.063375
-68.35033	0.084463	-68.35065	-0.048809	-68.35786	-0.099808	-68.41277	-0.04886	-68.33459	0.018506	-68.35764	0.043331	-68.35567	0.065658
-67.36523	0.084655	-67.33772	-0.045908	-67.32081	-0.097054	-67.40674	-0.046749	-67.34727	0.020636	-67.35152	0.045295	-67.33485	0.067504
-66.37215	0.083886	-66.33464	-0.042633	-66.29333	-0.095342	-66.40456	-0.043708	-66.34708	0.02232	-66.3486	0.047238	-66.32758	0.069091
-65.37637	0.084178	-65.33566	-0.041046	-65.31696	-0.093861	-65.39748	-0.042003	-65.35281	0.023103	-65.35889	0.04847	-65.33095	0.069268
-64.37846	0.085251	-64.34005	-0.039443	-64.32233	-0.091494	-64.38655	-0.039106	-64.37357	0.025058	-64.3477	0.05003	-64.33836	0.069678
-63.38773	0.086615	-63.34539	-0.037586	-63.36578	-0.089944	-63.39391	-0.038312	-63.37497	0.024865	-63.35285	0.051403	-63.373	0.07263
-62.40611	0.089311	-62.34853	-0.036784	-62.38293	-0.087455	-62.38374	-0.038138	-62.37048	0.028142	-62.35424	0.053198	-62.37608	0.074469
-61.37679	0.092698	-61.33949	-0.03557	-61.3588	-0.083562	-61.35531	-0.035934	-61.34698	0.030721	-61.33098	0.055849	-61.38881	0.077233
-60.37788	0.093586	-60.35444	-0.034645	-60.37418	-0.081329	-60.36255	-0.03582	-60.33168	0.032374	-60.34103	0.057384	-60.38976	0.079163
-59.34798	0.093643	-59.34657	-0.033513	-59.33591	-0.080491	-59.347	-0.033758	-59.34112	0.03373	-59.34045	0.058547	-59.37091	0.079445
-58.32359	0.093385	-58.32779	-0.032322	-58.32039	-0.078013	-58.34172	-0.030817	-58.32239	0.034801	-58.33156	0.06009	-58.37834	0.080774
-57.3469	0.091955	-57.32969	-0.030717	-57.33603	-0.077435	-57.36951	-0.029888	-57.34572	0.034258	-57.36563	0.060037	-57.36967	0.083049
-56.33591	0.093619	-56.32609	-0.028369	-56.31033	-0.076083	-56.34024	-0.025956	-56.34185	0.035791	-56.37689	0.061312	-56.3526	0.085648
-55.3303	0.095444	-55.31602	-0.025269	-55.30724	-0.072743	-55.347	-0.022675	-55.33565	0.037993	-55.36299	0.063233	-55.35454	0.087896
-54.33395	0.096835	-54.31586	-0.022752	-54.29986	-0.072201	-54.3287	-0.020396	-54.35481	0.039485	-54.36358	0.064276	-54.3293	0.088922
-53.31563	0.099035	-53.30856	-0.021373	-53.29652	-0.070218	-53.32162	-0.017282	-53.33708	0.041706	-53.33802	0.066175	-53.32259	0.088763
-52.33412	0.098858	-52.28581	-0.019129	-52.29939	-0.067803	-52.3531	-0.016992	-52.35579	0.043298	-52.31878	0.067671	-52.32124	0.089086
