E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.6916	2.75875	2.95929	3.19758	1.72985	0.16099	0.00404
0.6944	2.75127	2.95106	3.18814	1.72638	0.16065	0.00403
0.6972	2.74385	2.94259	3.17877	1.72294	0.16032	0.00402
0.7	2.73648	2.93418	3.16948	1.71951	0.15998	0.00401
0.6972	2.72917	2.92583	3.16025	1.7161	0.15965	0.004
0.6944	2.72191	2.91755	3.1511	1.71272	0.15932	0.00399
0.6916	2.71471	2.90933	3.14202	1.70935	0.15899	0.00398
0.6888	2.70756	2.90117	3.13301	1.70603	0.15866	0.00397
0.686	2.70047	2.89308	3.12406	1.70272	0.15834	0.00396
0.6832	2.69344	2.88506	3.11518	1.69944	0.15801	0.00396
0.6804	2.68646	2.87709	3.10637	1.69618	0.15769	0.00395
0.6776	2.67954	2.86919	3.09762	1.69294	0.15738	0.00394
0.6748	2.67267	2.86136	3.08894	1.68972	0.15706	0.00393
0.672	2.66586	2.85358	3.08032	1.68651	0.15675	0.00392
0.6692	2.6591	2.84588	3.07176	1.68333	0.15644	0.00391
0.6664	2.6524	2.83823	3.06326	1.68017	0.15613	0.0039
0.6636	2.64576	2.83065	3.05482	1.67703	0.15582	0.0039
0.6608	2.63917	2.82313	3.04644	1.67391	0.15551	0.00389
0.658	2.63264	2.81568	3.03812	1.67081	0.15521	0.00388
0.6552	2.62616	2.80829	3.02985	1.66773	0.15491	0.00387
0.6524	2.61974	2.80096	3.02164	1.66466	0.15461	0.00386
0.6496	2.61337	2.7937	3.01349	1.66161	0.15431	0.00386
0.6468	2.60706	2.7865	3.00538	1.65859	0.15401	0.00385
0.644	2.60081	2.77937	2.99734	1.65558	0.15372	0.00384
0.6412	2.59461	2.7723	2.98934	1.65258	0.15342	0.00383
0.6384	2.58846	2.76529	2.98144	1.64961	0.15313	0.00382
0.6356	2.58238	2.75835	2.9736	1.64665	0.15284	0.00382
0.6328	2.57632	2.75147	2.96581	1.64371	0.15256	0.00381
0.63	2.57007	2.74465	2.95808	1.64079	0.15227	0.0038
0.6272	2.56387	2.73781	2.95039	1.63788	0.15199	0.00379
0.6244	2.55771	2.73087	2.94276	1.63499	0.15171	0.00379
0.6216	2.55158	2.72398	2.93518	1.63212	0.15143	0.00378
0.6188	2.5455	2.71713	2.92765	1.62926	0.15115	0.00377
0.616	2.53946	2.71032	2.92017	1.62642	0.15087	0.00376
