Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
-278.1983	-0.4514749
-279.1822	-0.4532237
-280.1764	-0.456065
-281.1574	-0.4584255
-282.142	-0.4599895
-283.1586	-0.4626954
-284.1743	-0.4641661
-285.1699	-0.4655064
-286.1844	-0.4680103
-287.1819	-0.4698995
-288.1656	-0.4719636
-289.1796	-0.4750419
-290.1865	-0.4771333
-291.1718	-0.4793487
-292.1711	-0.4803087
-293.1569	-0.4811597
-294.1525	-0.482529
-295.1321	-0.4839895
-296.1268	-0.4876735
-297.1471	-0.4905124
-298.1325	-0.4926713
-299.1857	-0.4959593
-300.1864	-0.4981874
-301.1828	-0.5006078
-302.1888	-0.5040189
-303.1599	-0.5067163
-304.1568	-0.509078
-305.158	-0.5109562
-306.1487	-0.5122405
-307.1417	-0.5141537
-308.1224	-0.5164633
-309.1152	-0.5194224
-310.124	-0.5229709
-311.1276	-0.5242162
-312.1344	-0.5263163
-313.1384	-0.5284984
-314.1308	-0.5310552
-315.1457	-0.5356333
-316.1695	-0.5395759
