Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
53.28968	-5.119308	53.30843	-4.928388	53.29565	-1.193214	-453.6039	-2.127558	-453.6619	-2.867707	-453.5871	-3.406082
52.2909	-5.10048	52.30884	-4.901928	52.29894	-1.198661	-452.6083	-2.123577	-452.6577	-2.862502	-452.5884	-3.392045
51.29214	-5.077353	51.30088	-4.872744	51.30668	-1.205218	-451.6211	-2.119515	-451.644	-2.855203	-451.5852	-3.379484
50.31709	-5.05366	50.32927	-4.836679	50.33434	-1.210879	-450.6296	-2.115967	-450.6159	-2.847651	-450.5955	-3.367187
49.32515	-5.034516	49.31834	-4.80414	49.34678	-1.216343	-449.6351	-2.113187	-449.6127	-2.841284	-449.5942	-3.355782
48.31772	-5.012189	48.32651	-4.774501	48.34898	-1.219546	-448.6482	-2.110583	-448.5923	-2.833447	-448.5921	-3.343891
47.3413	-4.993454	47.34024	-4.74799	47.34936	-1.222404	-447.6577	-2.107872	-447.5823	-2.827685	-447.5945	-3.329827
46.34605	-4.975677	46.33267	-4.727782	46.31298	-1.226436	-446.6317	-2.103954	-446.6045	-2.822142	-446.588	-3.316908
45.32644	-4.956124	45.34218	-4.704623	45.2991	-1.230517	-445.6198	-2.099314	-445.5939	-2.812654	-445.5772	-3.303482
44.33042	-4.937528	44.33294	-4.678967	44.29912	-1.235514	-444.6129	-2.094435	-444.6012	-2.806748	-444.5874	-3.292043
43.29543	-4.91808	43.33548	-4.652364	43.2958	-1.240392	-443.6084	-2.089871	-443.6192	-2.800228	-443.575	-3.282848
42.28536	-4.899073	42.33547	-4.624653	42.26449	-1.243842	-442.6201	-2.08637	-442.607	-2.793767	-442.5695	-3.27255
41.26908	-4.879396	41.32811	-4.596626	41.26738	-1.247993	-441.6433	-2.083254	-441.616	-2.790676	-441.5931	-3.262174
40.27305	-4.858232	40.32724	-4.568491	40.26382	-1.251566	-440.6431	-2.079101	-440.6106	-2.784531	-440.5999	-3.251099
39.27923	-4.837696	39.29038	-4.537436	39.26607	-1.25509	-439.6298	-2.074406	-439.5952	-2.778489	-439.6053	-3.238308
38.28883	-4.816746	38.28917	-4.509295	38.29701	-1.258629	-438.6418	-2.06902	-438.5942	-2.772271	-438.61	-3.228342
37.31158	-4.795821	37.30429	-4.480254	37.30072	-1.261651	-437.6564	-2.06471	-437.5894	-2.766241	-437.5858	-3.216698
36.28621	-4.778121	36.31493	-4.452513	36.29935	-1.264066	-436.6426	-2.0612	-436.5972	-2.762234	-436.575	-3.204898
35.31333	-4.758517	35.32754	-4.427476	35.2884	-1.268331	-435.6533	-2.057716	-435.6223	-2.757513	-435.5885	-3.192293
34.29962	-4.737983	34.31762	-4.399536	34.28918	-1.273266	-434.6497	-2.054443	-434.6404	-2.753044	-434.5853	-3.176636
33.27687	-4.71771	33.29314	-4.372367	33.26818	-1.277386	-433.6288	-2.049525	-433.6484	-2.746526	-433.5942	-3.16444
32.30624	-4.693993	32.28242	-4.344705	32.28019	-1.283509	-432.6315	-2.044622	-432.6492	-2.736419	-432.5872	-3.151952
31.27945	-4.670603	31.2945	-4.314123	31.30397	-1.287416	-431.6278	-2.041278	-431.6403	-2.730029	-431.5838	-3.142444
30.30034	-4.648646	30.30115	-4.283791	30.32026	-1.290377	-430.6317	-2.037376	-430.6363	-2.723727	-430.598	-3.134547
