E	0s
V	j / ma * cm^2
0.521003	0.295446666666667
0.522	0.295223333333333
0.522996	0.294836666666667
0.523977	0.294443333333333
0.524982	0.294026666666667
0.525985	0.29365
0.526964	0.29338
0.527956	0.293033333333333
0.528954	0.292706666666667
0.529958	0.29254
0.530961	0.292223333333333
0.53198	0.292096666666667
0.532978	0.292033333333333
0.533985	0.291706666666667
0.534989	0.291483333333333
0.535974	0.291073333333333
0.536965	0.29053
0.537948	0.290206666666667
0.53895	0.289863333333333
0.53994	0.289623333333333
0.540929	0.289436666666667
0.541917	0.289176666666667
0.542919	0.288983333333333
0.543932	0.288693333333333
0.544941	0.288456666666667
0.545965	0.2883
0.546968	0.287906666666667
0.547957	0.287633333333333
0.548967	0.287373333333333
0.549951	0.286956666666667
0.550938	0.286856666666667
0.551949	0.286746666666667
0.552925	0.286523333333333
0.553935	0.28638
0.554968	0.286116666666667
0.555967	0.28579
0.556981	0.285533333333333
0.557982	0.28532
