Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-443.8326	-2.124537	-443.7812	-1.016269	-443.8283	-1.850475	-443.8006	-1.366645	-443.8077	-1.502367	-443.9691	-1.343346
-442.8236	-2.11814	-442.7655	-1.012354	-442.8083	-1.842201	-442.7737	-1.359742	-442.8122	-1.494712	-442.9492	-1.335171
-441.8491	-2.114255	-441.7933	-1.008435	-441.7964	-1.834924	-441.8026	-1.351858	-441.8151	-1.486689	-441.9615	-1.330009
-440.8469	-2.107647	-440.8029	-1.005031	-440.7845	-1.826597	-440.8145	-1.343593	-440.7976	-1.477307	-440.9442	-1.325178
-439.8395	-2.10204	-439.7798	-1.002018	-439.7756	-1.819628	-439.7833	-1.333878	-439.7871	-1.470547	-439.9306	-1.31956
-438.8167	-2.096867	-438.781	-0.998738	-438.7889	-1.810441	-438.7621	-1.326074	-438.774	-1.461182	-438.9209	-1.318968
-437.8139	-2.091329	-437.7876	-0.994446	-437.8003	-1.801428	-437.759	-1.318126	-437.7924	-1.451189	-437.9151	-1.31307
-436.8123	-2.086396	-436.7914	-0.98924	-436.8059	-1.793466	-436.7493	-1.308818	-436.813	-1.443514	-436.9294	-1.309138
-435.8091	-2.079615	-435.8121	-0.986722	-435.8142	-1.785404	-435.7467	-1.300879	-435.8157	-1.434936	-435.9372	-1.305994
-434.8053	-2.072044	-434.8463	-0.984116	-434.8239	-1.777725	-434.7956	-1.292406	-434.8417	-1.427067	-434.9593	-1.300781
-433.8003	-2.064233	-433.8448	-0.980378	-433.8243	-1.768127	-433.8026	-1.283842	-433.8343	-1.418368	-433.9499	-1.296559
