Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-516.6774	-4.793982	-516.6355	0.145447	-516.657	-2.876423	-516.6816	-1.037127	-516.6844	-1.7938	-516.6979	-1.491778	-516.7089	-0.963701	-516.6849	-1.524555	-516.7487	-2.295577
-515.6633	-4.782474	-515.6308	0.177051	-515.6074	-2.853822	-515.6475	-1.015596	-515.6735	-1.769166	-515.6747	-1.466949	-515.707	-0.943692	-515.6722	-1.503427	-515.7285	-2.285628
-514.651	-4.771571	-514.6372	0.202691	-514.6174	-2.831706	-514.6484	-0.995526	-514.653	-1.745285	-514.6597	-1.444772	-514.6755	-0.924939	-514.6515	-1.483338	-514.7153	-2.274198
-513.6429	-4.761086	-513.662	0.219191	-513.6382	-2.810108	-513.6647	-0.976019	-513.6494	-1.723094	-513.6578	-1.42412	-513.6701	-0.908269	-513.6762	-1.465871	-513.7173	-2.264947
-512.6376	-4.750273	-512.6882	0.235209	-512.6482	-2.788204	-512.6694	-0.956292	-512.6415	-1.700335	-512.6488	-1.403177	-512.6753	-0.892654	-512.6711	-1.447969	-512.7232	-2.25766
-511.6579	-4.7405	-511.6985	0.251683	-511.6679	-2.767658	-511.6946	-0.938796	-511.666	-1.679181	-511.6556	-1.384527	-511.6898	-0.880171	-511.6982	-1.432055	-511.7384	-2.248082
-510.6771	-4.730042	-510.724	0.273876	-510.6673	-2.744883	-510.6968	-0.919279	-510.6888	-1.658469	-510.6641	-1.3635	-510.7077	-0.865083	-510.7145	-1.415191	-510.7443	-2.234789
-509.6864	-4.71839	-509.6912	0.306412	-509.6405	-2.720744	-509.675	-0.898856	-509.6882	-1.634158	-509.6637	-1.342929	-509.7104	-0.847513	-509.6916	-1.395953	-509.7393	-2.223135
-508.7002	-4.708656	-508.6716	0.33888	-508.642	-2.699108	-508.6675	-0.881236	-508.6697	-1.612257	-508.6841	-1.3245	-508.7208	-0.832005	-508.7131	-1.379969	-508.7287	-2.21257
-507.7001	-4.697444	-507.6674	0.366682	-507.6559	-2.676267	-507.6702	-0.864034	-507.6667	-1.590026	-507.6874	-1.302983	-507.7018	-0.81497	-507.7039	-1.363717	-507.7253	-2.204566
-506.6843	-4.685782	-506.6235	0.400664	-506.6414	-2.654468	-506.6823	-0.847128	-506.6614	-1.566395	-506.6907	-1.279025	-506.6945	-0.798574	-506.6798	-1.34604	-506.7249	-2.197219
-505.6696	-4.676017	-505.6336	0.455625	-505.6847	-2.633977	-505.6953	-0.831926	-505.6679	-1.546177	-505.707	-1.258766	-505.71	-0.784951	-505.7085	-1.331442	-505.7532	-2.191574
-504.6495	-4.664731	-504.6268	0.469958	-504.6866	-2.611941	-504.6975	-0.814576	-504.691	-1.524218	-504.6903	-1.238124	-504.7192	-0.769022	-504.7012	-1.314464	-504.7724	-2.183157
-503.6301	-4.653366	-503.6222	0.483034	-503.6963	-2.590311	-503.6956	-0.796026	-503.6898	-1.502075	-503.7009	-1.217308	-503.7194	-0.753542	-503.6816	-1.296747	-503.7516	-2.172611
-502.6446	-4.642631	-502.6516	0.490334	-502.7084	-2.5679	-502.6789	-0.778291	-502.6854	-1.481007	-502.696	-1.198838	-502.727	-0.739232	-502.6877	-1.280967	-502.7539	-2.16587
-501.6631	-4.631468	-501.653	0.470042	-501.685	-2.545983	-501.6827	-0.759688	-501.6771	-1.460483	-501.6922	-1.178987	-501.7041	-0.725127	-501.6862	-1.264309	-501.7443	-2.155224
-500.6916	-4.62041	-500.6674	0.487594	-500.6824	-2.524232	-500.6897	-0.742358	-500.6748	-1.441195	-500.6888	-1.161293	-500.6789	-0.713199	-500.7043	-1.249033	-500.7382	-2.145605
-499.7104	-4.60994	-499.6664	0.504508	-499.6625	-2.502799	-499.6726	-0.725137	-499.691	-1.422421	-499.682	-1.147529	-499.7057	-0.70102	-499.735	-1.234535	-499.7516	-2.137739
