Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
28.35986	-0.1493612
27.36036	-0.1490075
26.36869	-0.148718
25.38331	-0.1480929
24.39464	-0.1476122
23.38258	-0.1473838
22.39002	-0.1468719
21.38748	-0.1466349
20.36212	-0.1459846
19.35506	-0.1447034
18.34047	-0.1440459
17.33673	-0.1443815
16.35566	-0.1450193
15.37252	-0.1462659
14.39044	-0.1472528
13.37726	-0.1466986
12.36875	-0.1465859
11.38151	-0.1463053
10.36323	-0.1458221
9.375648	-0.1461597
8.372275	-0.1459196
7.354261	-0.1457585
6.371261	-0.1449811
5.375067	-0.1441787
4.394077	-0.1439237
3.406956	-0.1438103
2.403832	-0.1433889
1.402021	-0.1436405
0.4062251	-0.1429137
-0.5778883	-0.1421605
-1.532721	-0.1420259
-2.510104	-0.1413422
-3.469257	-0.1412379
-4.463158	-0.1418693
-5.470769	-0.1416857
-6.462976	-0.1415991
-7.488434	-0.1419081
-8.495463	-0.1420922
-9.510586	-0.1425209
-10.53184	-0.1427185
-11.52639	-0.1427212
-12.53515	-0.1418961
-13.50504	-0.1414393
-14.49889	-0.1414512
-15.50341	-0.1408077
-16.49842	-0.1401926
-17.53583	-0.1405932
-18.53113	-0.1401618
-19.53279	-0.140398
-20.52032	-0.1407656
-21.52426	-0.1408128
-22.52774	-0.1408527
-23.52561	-0.1408075
-24.52576	-0.1403185
-25.50759	-0.1390809
-26.48313	-0.1382011
-27.47727	-0.1373943
-28.49395	-0.1371908
-29.49133	-0.1376296
-30.51047	-0.1378745
-31.51735	-0.1377331
-32.49477	-0.1375351
-33.50683	-0.1369631
-34.50725	-0.1364047
-35.50264	-0.136897
-36.5067	-0.1369643
-37.50794	-0.1372603
-38.49762	-0.1379456
-39.49159	-0.1378579
-40.49412	-0.1384348
-41.48878	-0.1386759
-42.49405	-0.1384093
-43.51401	-0.1380032
-44.52453	-0.1369094
-45.51364	-0.1357642
-46.51462	-0.1350816
-47.52534	-0.1343586
-48.50638	-0.1339058
-49.52467	-0.1344101
-50.52386	-0.1344529
-51.48237	-0.1343885
-52.48484	-0.1336931
-53.48412	-0.1328731
-54.49766	-0.1329673
-55.5209	-0.1331491
-56.54007	-0.1343904
-57.54276	-0.1352722
-58.54012	-0.1350307
-59.54296	-0.1359013
-60.5349	-0.136017
-61.53568	-0.1357629
-62.53648	-0.136069
-63.54214	-0.1352269
-64.53636	-0.1341155
-65.52649	-0.1339757
-66.53311	-0.133088
-67.52274	-0.1327065
-68.53618	-0.1328233
-69.5408	-0.1330277
-70.53832	-0.132916
-71.54025	-0.1320866
-72.54563	-0.1316149
-73.5421	-0.1305516
-74.52513	-0.1310656
-75.52322	-0.1322658
-76.51588	-0.1330981
-77.48993	-0.1334867
-78.48762	-0.1336493
-79.49382	-0.1339487
-80.49056	-0.1340103
-81.52672	-0.1348278
-82.54028	-0.1346339
-83.5545	-0.1343991
-84.54645	-0.1340646
-85.54444	-0.1335286
-86.53729	-0.133768
-87.51993	-0.1333632
-88.52734	-0.133432
-89.51219	-0.1329215
-90.49805	-0.1316964
-91.49159	-0.1313291
-92.48694	-0.1312394
-93.48605	-0.1319143
-94.50362	-0.1328608
-95.5047	-0.1334094
-96.49209	-0.1336699
-97.49863	-0.1334147
-98.47745	-0.1335893
-99.02051	-0.1223325
